trial #,role,code,restaurant features code,,,
4,seeker,OTH,,,,
4,assistant,EP,,,,
4,seeker,OTH,,,,
4,assistant,EP,,,,
4,seeker,ACK,,,,
4,assistant,EAI,,,,
4,seeker,INQ,,,,
4,assistant,EAI,,,,
4,seeker,"ACK, OTH",,,,
4,assistant,OTH,,,,
5,assistant,OTH,"LOC, CUT, PR, OSN, MNU, RVT, TM",,,
5,seeker,"OTH, IQ, PCT, PP",,,,
5,assistant,"ACK, RI",,,,
5,seeker,"ANS, PP",,,,
5,assistant,"ACK, RI",,,,
5,seeker,"ANS, PP",,,,
5,assistant,"ACK, IP",,,,
5,seeker,ACK,,,,
5,assistant,CQ,,,,
5,seeker,ANS,,,,
5,assistant,RI,,,,
5,seeker,"ANS, PP",,,,
5,assistant,"RS, PER",,,,
5,seeker,ACK,,,,
5,assistant,IP,,,,
5,seeker,INQ,,,,
5,assistant,"ANS, EAI",,,,
5,seeker,"ACK, CA",,,,
5,assistant,"IP, ANS, OTH",,,,
5,seeker,"RJT, CF",,,,
5,assistant,"ACK, IP, EP",,,,
5,seeker,INQ,,,,
5,assistant,"ANS, EAI, PER",,,,
5,seeker,ACK,,,,
5,assistant,"PEX, EAI",,,,
5,seeker,CA,,,,
5,assistant,"IP, ANS, EAI",,,,
5,seeker,"ACK, CF, RJT",,,,
5,assistant,"ACK, IP, RS, EAI, EP, EP",,,,
5,seeker,"ACK, OTH",,,,
5,assistant,"PEX, PER, EAI, EP, EP",,,,
5,seeker,"ACK, INQ",,,,
5,assistant,"ACK, ACK",,,,
5,seeker,ANS,,,,
5,assistant,OTH,,,,
5,seeker,OTH,,,,
5,assistant,OTH,,,,
6,assistant,OTH,"CUT, MNU, PR, LOC, RVT, PRO, TM",,,
6,seeker,"IQ, PCT",,,,
6,assistant,ACK,,,,
6,seeker,PCT,,,,
6,assistant,ACK,,,,
6,seeker,PP,,,,
6,assistant,ACK,,,,
6,seeker,PP,,,,
6,assistant,"ACK, CQ",,,,
6,seeker,"RP, OTH",,,,
6,assistant,"ACK, RI",,,,
6,seeker,ANS,,,,
6,assistant,ACK,,,,
6,seeker,PP,,,,
6,assistant,"ACK, RI",,,,
6,seeker,ANS,,,,
6,assistant,ACK,,,,
6,seeker,OTH,,,,
6,assistant,OTH,,,,
6,seeker,OTH,,,,
6,assistant,OTH,,,,
6,seeker,OTH,,,,
6,assistant,"IP, RE",,,,
6,seeker,ANS,,,,
6,assistant,"PEX, PCN",,,,
6,seeker,ACK,,,,
6,assistant,"EP, EP, EP",,,,
6,seeker,ACK,,,,
6,assistant,"OTH, IP",,,,
6,seeker,"ACK, INQ",,,,
6,assistant,ANS,,,,
6,seeker,OTH,,,,
6,assistant,ACK,,,,
6,seeker,ACK,,,,
6,assistant,EP,,,,
6,seeker,ACK,,,,
6,assistant,PEX,,,,
6,seeker,"ACK, CON",,,,
6,assistant,IP,,,,
6,seeker,"ACK, PP, OTH",,,,
6,assistant,CQ,,,,
6,seeker,ANS,,,,
6,assistant,OTH,,,,
6,seeker,ACK,,,,
6,assistant,OTH,,,,
6,seeker,ACK,,,,
6,assistant,AO,,,,
6,seeker,"ANS, OTH",,,,
6,assistant,"RE, EAI",,,,
6,seeker,ACK,,,,
6,assistant,EAI,,,,
6,seeker,ACK,,,,
6,assistant,"EAI, EP, PCN",,,,
6,seeker,"ACK, CC",,,,
6,assistant,ANS,,,,
6,seeker,ACK,,,,
6,assistant,EAI,,,,
6,seeker,ACK,,,,
6,assistant,IP,,,,
6,seeker,ACK,,,,
6,assistant,"IP, AO",,,,
6,seeker,ACK,,,,
6,assistant,ACK,,,,
6,seeker,OTH,,,,
6,assistant,OTH,,,,
6,seeker,OTH,,,,
6,assistant,EAI,,,,
6,seeker,ACK,,,,
6,assistant,"EAI, AO",,,,
6,seeker,"ANS, OTH",,,,
6,assistant,OTH,,,,
6,seeker,OTH,,,,
6,assistant,EAI,,,,
6,seeker,"ACK, ACT, OTH",,,,
6,assistant,"OTH, EF, OTH",,,,
6,seeker,"ANS, CON",,,,
6,assistant,"ACK, IP, RE",,,,
6,seeker,BT,,,,
6,assistant,AO,,,,
6,seeker,OTH,,,,
6,assistant,OTH,,,,
6,seeker,OTH,,,,
6,assistant,RE,,,,
6,seeker,ACK,,,,
6,assistant,AO,,,,
6,seeker,ANS,,,,
6,assistant,AO,,,,
6,seeker,ANS,,,,
6,assistant,"RS, EAI, PEX, EP, EP",,,,
6,seeker,"INQ, INQ",,,,
6,assistant,IP,,,,
6,seeker,ACK,,,,
6,assistant,"ANS, EAI",,,,
6,seeker,ACK,,,,
6,assistant,EAI,,,,
6,seeker,ACK,,,,
6,assistant,EAI,,,,
6,seeker,ACK,,,,
6,assistant,"EAI, PCM",,,,
6,seeker,ACK,,,,
6,assistant,PER,,,,
6,seeker,"ACK, INQ",,,,
6,assistant,ACK,,,,
6,seeker,OTH,,,,
6,assistant,OTH,,,,
6,seeker,ACK,,,,
6,assistant,OTH,,,,
6,seeker,ACK,,,,
6,assistant,EAI,,,,
6,seeker,"NR, OTH",,,,
6,assistant,OTH,,,,
6,seeker,OTH,,,,
7,assistant,OTH,"TM, CUT, MNU, LOC, NOL, RVT, PR, WT",,,
7,seeker,"PCT, PP, PCT, IQ, PP, PP",,,,
7,assistant,CQ,,,,
7,seeker,ANS,,,,
7,assistant,CQ,,,,
7,seeker,ANS,,,,
7,assistant,"ACK, IP",,,,
7,seeker,RP,,,,
7,assistant,ACK,,,,
7,seeker,RP,,,,
